instruction,intent,OOD
I got to cancel my  tickets for the game in this city how to do it,cancel_ticket,No
"I need to cancel my ticket for the event in this town, can I get some help?",cancel_ticket,No
I got to cancel my ticket for the event,cancel_ticket,No
"I want to cancel my tickets for the concert, hoe can I do it?",cancel_ticket,No
Need to cancel my ticket for the show in this town how do i do it,cancel_ticket,No
"I'd like to cancel my tickets fpr the concert in this town, can you help me?",cancel_ticket,No
Can ya help me cancel my tickets for the show in this town,cancel_ticket,No
"I want to cancel my ticket for the show in this city, where to do it?",cancel_ticket,No
"I got to cancel my tickets for the event in this town, how can I do it?",cancel_ticket,No
I need assistance canceling my tickets forf the show in this city,cancel_ticket,No
Wanna cancel my tickets can i get somehelp,cancel_ticket,No
Need to cancel my ticket for the event how do i do it,cancel_ticket,No
"I want to cancel my ticket for tne concert in this town, how do I do it?",cancel_ticket,No
I have to cancel my ticket for the event in this town where could i do it,cancel_ticket,No
"I ned to cancel my ticket for the show in this city, can I get some help?",cancel_ticket,No
"I want to cancel my tickets for the concert in these city, I need assistance",cancel_ticket,No
"I'd like to cancel my tickte for the game in this town, can I get some help?",cancel_ticket,No
I have to cancel my ticket for th event in this city can uhelp me,cancel_ticket,No
I'd like to cancel my ticket for the event in this city i need assistance,cancel_ticket,No
Id like to cancel my tickets for the event where do i do it,cancel_ticket,No
Need to cancel my ticket for the game in this town where to do it,cancel_ticket,No
I'd like to cancel my tickets for the game in these city could ya help me,cancel_ticket,No
"I got to cancel my fuckinmg tickets, can I get some help?",cancel_ticket,No
Need to cancel my tickets for the concert in this town how coupd i do it,cancel_ticket,No
"I woulod like to cancel my ticket for the concert in this city, will you help me?",cancel_ticket,No
Wanna cancel my tickets for the game inthis town how to do it,cancel_ticket,No
I want assistance cancelling my ticketsfor the game,cancel_ticket,No
Id like to cancel my ticket for the event in this city could uhelp me,cancel_ticket,No
Is it possible to cancel my  ticket for the concert in this city?,cancel_ticket,No
I want assistance canceling my ticket,cancel_ticket,No
Id like to cancel my fuking ticket where do i do it,cancel_ticket,No
Could I cancel my tickets for the concert?,cancel_ticket,No
"I'd like to cancel my tickets for the game, I need assistance",cancel_ticket,No
I got to cancel my tickets how do i do it,cancel_ticket,No
I'd liketo cancel my tickets for the show could ya help me,cancel_ticket,No
I'd like to cancel my ticket for the concert in these town where can i do it,cancel_ticket,No
"I'd like to cancel my ticket, where do I do it?",cancel_ticket,No
I got to cancel my tickets for the event in these town could uhelp me,cancel_ticket,No
Wanna cancel my ticket for the show in this city where can i do it,cancel_ticket,No
"I want to cancel my ticket for the event in this city, help me",cancel_ticket,No
"I have to cancel my ticket for the show, could I get some help?",cancel_ticket,No
"I have to cancel my tickets for the game , can you help me?",cancel_ticket,No
"I'd like to cancel my ticket for the game in this city, where ca I do it?",cancel_ticket,No
Need to cancel my ticket for the concert where can i do it,cancel_ticket,No
"I have to cancel my ticket for the event in this town, where do I do it?",cancel_ticket,No
"I neef to cancel my tickets for the event in this city, how to do it?",cancel_ticket,No
I'd like to cacnel my ticket for the event,cancel_ticket,No
Where can I cancel my ticket for the show ?,cancel_ticket,No
"I would like to cancerl my tickets for the game, how could I do it?",cancel_ticket,No
"I have to cancel my tickets for the game, can I get some help ?",cancel_ticket,No
Need to cancel my fcking tickets for the event help me,cancel_ticket,No
"I got to cancel my ticket, how could I do it?",cancel_ticket,No
I have to cancel my ticket for the game where to do it,cancel_ticket,No
I'd like to cancel my tickets for the event in this city how could i do it,cancel_ticket,No
Could uhelp me canceling my tickets for  the game in this city,cancel_ticket,No
How to cancel my tickets for the show ?,cancel_ticket,No
I need  assistance to cancel my tickets for the show,cancel_ticket,No
"I have to cancel my tickets for the show in this city, where could I do it?",cancel_ticket,No
I got to cancel my tickets for the cocnert,cancel_ticket,No
"I got to cancel my tickets for the  event, help me",cancel_ticket,No
"I got to cancel my tickets for the event in this town, help me",cancel_ticket,No
Where do i cancel my ticket for the event in this city,cancel_ticket,No
I got to cancel my ticket for the show could i get some help,cancel_ticket,No
"I'd like to cancel my tickets for the concert in this town, how can I do it?",cancel_ticket,No
"I got to canmcel my ticket for the game in this city, how do I do it?",cancel_ticket,No
Id like to cancel my tickets how could i do it,cancel_ticket,No
I got to cancel my tickets for the show in these city i need assistance,cancel_ticket,No
Wanna cancel my ticketfor the concert in this city how do i do it,cancel_ticket,No
Need to cancel my tickets fot the event how to do it,cancel_ticket,No
"I want to cancel my tickets for the event in this city, how could I do it?",cancel_ticket,No
"I'd like to cancel my ticket, can I get some help?",cancel_ticket,No
"I'd like to cancel my tickets for the event  in this town, could you help me?",cancel_ticket,No
I need assistance cancelling my tickets for the game,cancel_ticket,No
Wanna cancel my tickets for the game in this city can i get some help,cancel_ticket,No
Can ya help me to cancel my tickets for the concert in these town,cancel_ticket,No
"I'd like to cancel my ticket for the show, can I get some help ?",cancel_ticket,No
I have to cancel my ticket for the event in this town could i get some help,cancel_ticket,No
I need help to cancel my ticket for the event in this city,cancel_ticket,No
Help me canceling my  ticket for the concert in this town,cancel_ticket,No
I'd like to cancel my tickets for the  event in this town could uhelp me,cancel_ticket,No
"I have to cancel my tickets for the game, how could I do it?",cancel_ticket,No
Can you help me canceling my tickets for the show in tis town?,cancel_ticket,No
Id  like to cancel my tickets for the concert how do i do it,cancel_ticket,No
Need to cancel my tickrt for the show how can i do it,cancel_ticket,No
I got to cancel my tickets for the game ho can i do it,cancel_ticket,No
I want help canceling my tickets for the game in this city,cancel_ticket,No
"I have to cancel my ticket for the game in this city , how could I do it?",cancel_ticket,No
Need to cancel my tickets for the  game in this city how do i do it,cancel_ticket,No
Can you help me cancel my tickets for the game?,cancel_ticket,No
Id like to cancel my tickets could i get some help,cancel_ticket,No
I need help to cancel my tickets for the event in this city,cancel_ticket,No
"I'd like to cancel my tickets, I need assistance",cancel_ticket,No
Need to cancel my ticket for the game can i get some help,cancel_ticket,No
Nmeed to cancel my ticket for the game in this city where to do it,cancel_ticket,No
"I would like to cancel my tickets for the show, how could I do it?",cancel_ticket,No
I got to cancel my ticket for the event in this city could uhelp me,cancel_ticket,No
"I got to cancel my ticket for the show in this city, where tp do it?",cancel_ticket,No
Is it possible to cancel my tickets for the game,cancel_ticket,No
"I want to cancel my tickets for the event in this town, were do I do it?",cancel_ticket,No
"I want to cancel my tickets folr the concert, could you help me?",cancel_ticket,No
I need assistance to cancel my ticket for the show in this town,cancel_ticket,No
How can I cancel my tifkets for the event in this city?,cancel_ticket,No
Oculd you help me to cancel my ticket for the show?,cancel_ticket,No
I have to cancel my tickets for the concert can i get some help,cancel_ticket,No
Wanna cancel  my ticket for the show in this town could uhelp me,cancel_ticket,No
I need assistance cancelling my ticket for the game in this city,cancel_ticket,No
Would it be possible to cancel my  ticket for the show in this town?,cancel_ticket,No
I have to cancel my ticket for the ervent in this town how can i do it,cancel_ticket,No
I want help to cancel my tickets for the show,cancel_ticket,No
I have to cancel my tickets for the show ni this town can i get some help,cancel_ticket,No
How to cancel my tickets for the event in this town?,cancel_ticket,No
I got to cancel my tickets for the show in these city,cancel_ticket,No
I got to cancel my ticket for the game in this town how could i do it,cancel_ticket,No
I got to cancel my tickets for the concert in this town where do i do it,cancel_ticket,No
I want help to cancel ym tickets for the concert in this city,cancel_ticket,No
Need to cancel my tickets for the concert in this city how do i do it,cancel_ticket,No
I'd like to cancel my tickets for the game in this city could i get some help,cancel_ticket,No
"I would like to cancel my tickets for the show in this town, I need help",cancel_ticket,No
I want assistance canceling my ticket for the show in this town,cancel_ticket,No
I neeed assistance canceling my ticket,cancel_ticket,No
"I would like to cancel my ticket for the concert, can I get some help?",cancel_ticket,No
"I got to cancel my ticket, where can I do it?",cancel_ticket,No
I got to cancel my tickets for the game in this town how can i do it,cancel_ticket,No
Is it possible to cancel my tickets for thne concert in this city,cancel_ticket,No
Id like to cancel my ticket for the event where can i do it,cancel_ticket,No
"I got to cancel my ticket for the event in this city, could you help me?",cancel_ticket,No
"I'd like to cancel my tickets, canh I get some help?",cancel_ticket,No
Wanna cancel my ticket for theshow in this town can uhelp me,cancel_ticket,No
Need to cancel my tickets for the event in this town,cancel_ticket,No
Id like to cancel my tickets for the event in this town where to do it,cancel_ticket,No
How could I cancel my fuckikng ticket for the event in this town?,cancel_ticket,No
I got to ccancel my tickets for the game where to do it,cancel_ticket,No
"I got to cancel my ticket for the concert, can you help me?",cancel_ticket,No
"I got to cancel my ticket for the show, where to do it?",cancel_ticket,No
I'd like to cancel my tickets for the show were do i do it,cancel_ticket,No
I want assistance cancelling my tickwt for the concert in this city,cancel_ticket,No
I'd like to cancel my ticket for the game how to do it,cancel_ticket,No
"I would like to cancel my ticket for the game, how to do it?",cancel_ticket,No
Id like to cancel m tickets how to do it,cancel_ticket,No
"I got to cancel my tickets for the game in this city, could I get some help?",cancel_ticket,No
I need help canceling my tickets for the concert in this city,cancel_ticket,No
Id like ot cancel my tickets will uhelp me,cancel_ticket,No
"I have to cancel my tickets for the show in this city , will you help me?",cancel_ticket,No
"I have to cancel my ticket for the show in this town, how can Ido it?",cancel_ticket,No
Id like to cancel my tickets for the evbent could ya help me,cancel_ticket,No
"I got to cancel my tickets for the concert , where to do it?",cancel_ticket,No
Wanna cancel my tickjets for the show will ya help me,cancel_ticket,No
"I need to cancel my ticket for the concert in this town, helpme",cancel_ticket,No
Id like to cancel my tickets for the game in this city could i get some hlp,cancel_ticket,No
"I would like to cancel my tickets for the evednt, where can I do it?",cancel_ticket,No
"I'd like to cancel my tickets for the game in this town, I need assistance",cancel_ticket,No
Wanna canel my ticket for the concert in this town could i get some help,cancel_ticket,No
I got to canel my ticket for the show in this town can uhelp me,cancel_ticket,No
"I would like to cancel myt tickets for the event, where could I do it?",cancel_ticket,No
"I got to cancel my ticket for the show in this town, how can I do it?",cancel_ticket,No
Id like to cancel my ticket for the event in this city help me,cancel_ticket,No
"I have to cancel my ticket for the show in ths town, will you help me?",cancel_ticket,No
I'd like to cancel my ticket for the concert,cancel_ticket,No
I got to cancel my ticket for the show in this city,cancel_ticket,No
I have to cancel my tickets for the concert in this city how could i od it,cancel_ticket,No
Wanna cancel my tickets for the concert in this town how can i do it,cancel_ticket,No
I want help to cancel my ticket for the gane,cancel_ticket,No
Help me to cancel my ticket for the event in this otwn,cancel_ticket,No
I have to cancel my tickets for the gae in this town can uhelp me,cancel_ticket,No
Where can I cancel my tickets for the concert in these town?,cancel_ticket,No
"I got to cancel my tickets for the game in this town, how to do it?",cancel_ticket,No
How can i cancel my ticket for the event in tis city,cancel_ticket,No
Would it be possible to cancel my ticket for theconcert in this town?,cancel_ticket,No
"I would like to cancel my tickets for the evbent in this town, I need help",cancel_ticket,No
Id like to cancel my tickets ffor the event in this town where can i do it,cancel_ticket,No
I want help canceling my tickets,cancel_ticket,No
Wanna cancel my tickets for the show in this city hpw do i do it,cancel_ticket,No
I have to cancel my ticket for the event in this town could uhelp me,cancel_ticket,No
Wanna cancel my fucknig ticket for the concert in this town how can i do it,cancel_ticket,No
Wanna cancel my tiockets for the game in this town how could i do it,cancel_ticket,No
Id like to cancel my tickiets help me,cancel_ticket,No
"I'd like to cancel my tickets for the concert, I need assistance",cancel_ticket,No
I'd like to cancel my fuckinng ticket for the show in this city could i get some help,cancel_ticket,No
Id like to cancel my tickets for the game in this cit could i get some help,cancel_ticket,No
Need to cancel my ticket for the game can i gt some help,cancel_ticket,No
Help me canceling my tickets for th event in this town,cancel_ticket,No
Wanna cancel my ticket for the concert in this city will uhelp me,cancel_ticket,No
"I would like to cancel my tickets for the game, where do I do it ?",cancel_ticket,No
Id like to cancel my tickets for the concert where can i do it,cancel_ticket,No
"I need to cancel my ticket for the concert in this city, can I get some help?",cancel_ticket,No
"I would like to cancel my ticket for the game, will you help me?",cancel_ticket,No
I want assistance to cancel my ticket for the concert in this town,cancel_ticket,No
I'd like to cancel my ticket for the event in this town where to do it,cancel_ticket,No
Id like to cancel my itckets for the game in this city where could i do it,cancel_ticket,No
"I have to cancel my tickets, how do I do it?",cancel_ticket,No
"I have to cancel my ticket for the concert, where to do it?",cancel_ticket,No
I need assistance canceling my ticket for the game,cancel_ticket,No
I want assistance cancelling my ticket for the game in this town,cancel_ticket,No
Could  ya help me to cancel my ticket for the show in this town,cancel_ticket,No
Need to cancel my ticket for the event could i get some help,cancel_ticket,No
"I would like tl cancel my tickets, how do I do it?",cancel_ticket,No
I got to cancel my ticket for the game i ned help,cancel_ticket,No
I'd like to cancle my tickets for the event where do i do it,cancel_ticket,No
Wanna cancel my tickets could ya help me,cancel_ticket,No
I got to cancel my tickets for the concert where to do it,cancel_ticket,No
"I want to cancel my ticket for the event, could you help me?",cancel_ticket,No
I got to cancel my ticket for the game ni this city how to do it,cancel_ticket,No
How to cancel mu ticket for the event?,cancel_ticket,No
"I have to cancel my ticket for the game, could you help me?",cancel_ticket,No
"I haveto cancel my tickets for the event in this city, how could I do it?",cancel_ticket,No
Need to cancel my ticket for the concert can i get some help,cancel_ticket,No
"I need to cancel my tickets for the ocncert in this town, how can I do it?",cancel_ticket,No
I have to cancel my tickets for the event in this town where can i do it,cancel_ticket,No
I got to cancel my tickets for the concert in this town  can i get some help,cancel_ticket,No
"I got to cancel my tickets for the concert in this city, how can I do it?",cancel_ticket,No
"I would like to cancel my tickets for the event in this town, can yuou help me?",cancel_ticket,No
"I'd like to cancel my tickets for the concert, where could I do it?",cancel_ticket,No
Could i cancel my ticket for the event in this city,cancel_ticket,No
Need to cancel my  tickets for the show in this city will uhelp me,cancel_ticket,No
"I need to cancel my tickets for the event in this city, where can I do it?",cancel_ticket,No
Where do I cancel my tickets for the concert in this town?,cancel_ticket,No
"I hasve to cancel my tickets for the event, I need help",cancel_ticket,No
I got to cancel my ticets for the event in this town help me,cancel_ticket,No
Can ya help me to cancel my tickets for the event in this town,cancel_ticket,No
I want help cancelling my ticket for the concert in this town,cancel_ticket,No
I have to cancel my fuckinb tickets where to do it,cancel_ticket,No
Where could I cancel my tickets for the concert in this city?,cancel_ticket,No
"I'd like to cancel my tcket for the concert, could I get some help?",cancel_ticket,No
I want assistance to cancel my tickets for the game in this city,cancel_ticket,No
"I got to cancel my ticket for the show in this town, how could I do it?",cancel_ticket,No
Wanna cancel my tickets for the event in these city i need assistance,cancel_ticket,No
I have to cancel my tickets for the concert in these city,cancel_ticket,No
I'd like to cancel my tickets for the event in these city can i get some help,cancel_ticket,No
I need to cancel my tickets for the concert,cancel_ticket,No
Wanna cancel my ticket for the event in this city could i get some help,cancel_ticket,No
Id like to cancel my ticket for the concert where could i do it,cancel_ticket,No
"I'd like to cancel my ticket, could you help me?",cancel_ticket,No
"I got to cancel my ticket for the event in this city, will you help me?",cancel_ticket,No
Where to cancel my tickeet for the concert in this town,cancel_ticket,No
Is it possible to cancel my tickets for the event in this town,cancel_ticket,No
"I'd like to cancel my tickets for the event in this city, could you help me?",cancel_ticket,No
I got to cancel my ticket fir the game in this city where can i do it,cancel_ticket,No
"I have to cancel my ticket for the game in this city, I need assistance",cancel_ticket,No
I got to cancel my tickets for the event in this town help me,cancel_ticket,No
"I want to cancel my ticket for the game in this city, could I get some help?",cancel_ticket,No
Id like to cancle my tickets for the event in this town i need assistance,cancel_ticket,No
I got to cancel my ticket for the game in these town where can i do it,cancel_ticket,No
Could ya help me canceling my ticket for the event in this city,cancel_ticket,No
"I'd like to cancel my tickets for the show in this town, could you help me?",cancel_ticket,No
Where can I cancel my ticket for the show?,cancel_ticket,No
Need to cancel my ticket for the game in this town can ya help me,cancel_ticket,No
I'd like to cancel my tickets for the game how could i do it,cancel_ticket,No
"I need to cancel my tickets for the game, were can I do it?",cancel_ticket,No
Acn ya help me canceling my ticket for the event in this city,cancel_ticket,No
"I'd like to cancel my ticket for the event, can you helo me?",cancel_ticket,No
I have to cancel my tickey for the show help me,cancel_ticket,No
Could you help me cancel my ticketsfor the event in this town?,cancel_ticket,No
Where to cancel mh ticket for the game in this town,cancel_ticket,No
Id like to cancel my tickets for the game in these city can uhelp me,cancel_ticket,No
I'd like to cancel my tikcet for the event help me,cancel_ticket,No
I have to cancel my ticket for the event can i get some help,cancel_ticket,No
I'd like to canceo my tickets for the event will ya help me,cancel_ticket,No
I got ti cancel my tickets for the event in this city where could i do it,cancel_ticket,No
Where d i cancel my ticket for the game in this city,cancel_ticket,No
I'd like to cancel my tickets for the game will ya help me,cancel_ticket,No
I got to canncel my tickets for the concert in this city how do i do it,cancel_ticket,No
Can you help me cancelling my ticket for the show in this town?,cancel_ticket,No
I have to cancel my tickets for the event in this city could ya help me,cancel_ticket,No
I want assistanceto cancel my tickets for the concert,cancel_ticket,No
I got to cancel my fuckinng tickets for the show,cancel_ticket,No
"I would like to cancel my ticket for the game in these city, I need assistance",cancel_ticket,No
Wanna cancel my ticket for the show in this city how could i do it,cancel_ticket,No
"I would like to cancel my ticket for the game, could I get some help?",cancel_ticket,No
Wanna cancedl my ticket for the show in this town,cancel_ticket,No
"I would like to cancel my tickets for the game in these city, how can I do it?",cancel_ticket,No
"I would like to cancel my ticket for the concert, how to do it?",cancel_ticket,No
Wanna cancel m tickets for the concert in this town help me,cancel_ticket,No
Wanna cacnel my ticket for the event in this city how could i do it,cancel_ticket,No
Can i cacnel my ticket for the concert in this town,cancel_ticket,No
I'd lime to cancel my tickets for the show in this town,cancel_ticket,No
Wanna cancel my tickets for the event in this town how could i do it,cancel_ticket,No
"I would like to cancel my tickets for the game , I need assistance",cancel_ticket,No
I got to cancel my ticket for the game in this town could uhelp me,cancel_ticket,No
I have to cancel my tickets for the event in this city i need assistance,cancel_ticket,No
I need help canceling my tickets for the show in this town,cancel_ticket,No
I want assistance canceling my tickets for the event in this town,cancel_ticket,No
I need help to cancel my ticket for the game in this city,cancel_ticket,No
Wanna cancel my tickets for the concert in this city  i need assistance,cancel_ticket,No
I'd like to cancel my fuccking tickets for the game in this city could ya help me,cancel_ticket,No
"I got to cancel my tickets for the game, how could I do it?",cancel_ticket,No
I got to cancel my tickets for the game in this town i need assistance,cancel_ticket,No
Id like to cancel my ticket for the game can i get some help,cancel_ticket,No
"I git to cancel my tickets for the concert, where can I do it?",cancel_ticket,No
I need assistance canceling my ticket for the show,cancel_ticket,No
I got to  cancel my ticket for the game how do i do it,cancel_ticket,No
Wanna cancel my ticket for the concert were could i do it,cancel_ticket,No
I want help canceling my ticket for the game,cancel_ticket,No
Id like to cancel my ticker for the game in this city how could i do it,cancel_ticket,No
Where do I cancel my tickets for the game in this city?,cancel_ticket,No
Need to cancel my ticket for the show in this city could  ya help me,cancel_ticket,No
Where to cancel my ticket for the event in this town,cancel_ticket,No
I have to cancel my tickets for the game in this city,cancel_ticket,No
"I would like to cancel my ticket for the game in this town , help me",cancel_ticket,No
"I want to cancel my tickets for the game in this town, where do I do it?",cancel_ticket,No
I'd like to cancel my tickets for the game in this town how could i do it,cancel_ticket,No
I got to cancel my tickets for the show were to do it,cancel_ticket,No
Wanna cancel my tickets for the show in tyhis city how can i do it,cancel_ticket,No
Id like to cancel my tickets for the show in  this town where to do it,cancel_ticket,No
Id like to cancel my tickets for the game were could i do it,cancel_ticket,No
Could yiu help me cancel my ticket for the concert?,cancel_ticket,No
I have to cancel my tickets for thr concert in this city,cancel_ticket,No
I want assistance to cancel my tickets for the show in these town,cancel_ticket,No
I got to cancel my ticket for the event in this town,cancel_ticket,No
I got to cancel my tickets how could i do it,cancel_ticket,No
"I want to cancel my tickets for the concert in this city, can I get some help?",cancel_ticket,No
"I got to cancel my ticket for the event in this town, where can I do it?",cancel_ticket,No
I want assistance cancellingmy tickets for the show,cancel_ticket,No
Wanna cabcel my ticket for the game in this town could ya help me,cancel_ticket,No
"I would like to cancel my tickets for the concert in this town, where could I do it?",cancel_ticket,No
"I got to cancel my tickets, how do I do it?",cancel_ticket,No
"I got to cancel my ticket for the show in this town, how do I do it?",cancel_ticket,No
"I want to cancel my ticket for the game in this town, I need assistance",cancel_ticket,No
I'd like to cancel my tickets for the concert in this town could i get some help,cancel_ticket,No
I'd like to cancel my ticket for the game in this town,cancel_ticket,No
Need to cancel my tickets for the event,cancel_ticket,No
"I got to cancel my tickets for the event in this tiwn, can I get some help?",cancel_ticket,No
"I need to cancel my ticket for the concert in this city , could you help me?",cancel_ticket,No
"I have to cancel my tickets for the event in this city, culd you help me?",cancel_ticket,No
Ned to cancel my tickets for the game where could i do it,cancel_ticket,No
"I got to cancel my ticket for the event in this city, were do I do it?",cancel_ticket,No
I got to cancel my tickets for the concert in this town can uhelp me,cancel_ticket,No
Need to cancel my ticket for the event in this town how could i do it,cancel_ticket,No
How to cancel my ticket for the game in these town,cancel_ticket,No
"I have to cancel my tickets for the concert, can I get some help?",cancel_ticket,No
I have to cancel my ticket for the concert in this city,cancel_ticket,No
"I would like to cancel my ticket for the show, could you help me?",cancel_ticket,No
"I want to cancel my ticket for the concert, where to do it?",cancel_ticket,No
I'd like to cancel my tickets for the game in this town how do i do it,cancel_ticket,No
I want assistance canceling my tickets for the game,cancel_ticket,No
"I'd like to cancel my tickets for the show in this town, I need assistance",cancel_ticket,No
"I got to cancel my ticket for the event, I need help",cancel_ticket,No
"I need to cancel my ticket for the show in this town, how to do it ?",cancel_ticket,No
I would like to cancel my ticket for the show in this city,cancel_ticket,No
"I got to cancel my tickets, how to doit?",cancel_ticket,No
Id like to cancel my tickets for the event in this city i need assistance,cancel_ticket,No
I'd like to cancel my ticket for the concert in this city i need help,cancel_ticket,No
I need to cancel my tickets for the event in these city,cancel_ticket,No
I'd like to cancel my ticket for the show could uhelp me,cancel_ticket,No
Wanna cancel my ticketsfor the concert in this town how to do it,cancel_ticket,No
I got to cancel my ticket for the game were could i do it,cancel_ticket,No
